SEED manual v2.4, pp. 108-110

Note    Length*   Start    End
   1         6        0      5
   2         1        6      6
   3         1        7      7
   4         5        8     12
   5         2       13     14
   6         3       15     17
   7         2       18     19
   8        10       20     29
   9         2       30     31
  10         2       32     33
  11         2       34     35
  12         1       36     36
  13         1       37     37
  14         1       38     38
  15         1       39     39
  16         4       40     43
  17         2       44     45
  18         2       46     47

*length in bytes.
